SKU,Brand,Model,Finish,RimWidth,RimDiameter,Size,BoltPattern1,Hubbore,Offset,Warranty,MaxWheelLoad,Weight,LipSize,construction,USRetail,UAERetailIncludingVat,image1,image2,image3,image4,image5,image6,image7,image8,image9,image 10,image 11
CCR 0101B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,19,19x8,5x108,PFS,45,,,24.7,,,190,1400,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0101GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,19,19x8,5x120,PFS,45,,,24.4,,,200,1670,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0101P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,19,19x8,5x112,PFS,44,,,24.6,,,208,1730,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,19,19x8,5x114.3,PFS,38,,,24.9,,,208,1670,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,19,19x8,5x112,PFS,27,,,25.7,,,208,1730,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x112,PFS,30,,,26.2,,,170,1370,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201+B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x110,PFS,30,,,26.2,,,1750,11380,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201+GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x114.3,PFS,30,,,26,,,1750,11430,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0201+P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x120,PFS,35,,,25.7,,,1750,11430,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0202B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x112,PFS,40,,,25.7,,,200,1670,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0202GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x114.3,PF,43,,,25.5,,,249,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0202P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,19,19x8.5,5x112,PFS,44,,,25.5,,,249,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0203B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8,20,20x8,5x112,PFS,27,,,27.6,,,261,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0203GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,19,19x9,5x120,PFS,26,,,26.1,,,261,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0203P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,19,19x9,5x112,PFS,42,,,25.5,,,297,1850,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0204B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,19,19x9,5x120,PFS,48,,,24.9,,,297,1850,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0204GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,19,19x9.5,5x120,PFS,40,,,26.2,,,309,2010,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0204P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,19,19x9.5,5x112,PFS,42,,,26.3,,,309,2010,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,19,19x9.5,5x110,PFS,42,,,26.3,,,318,2140,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,19,19x9.5,5x112,PFS,46,,,26,,,249,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,20,20x8.5,5x112,PFS,30,,,27.9,,,249,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301+B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,20,20x8.5,5x110,PFS,30,,,27.9,,,261,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301+GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,20,20x8.5,5x120,PFS,32,,,27.7,,,261,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0301+P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,20,20x8.5,5x112,PFS,42,,,27.2,,,297,1850,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0302B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",8.5,20,20x8.5,5x114.3,PFS,40,,,27.3,,,297,1850,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0302GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10,19,19x10,5x112,PFS,48,,,25.5,,,309,2010,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0302P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10,19,19x10,5x120,PFS,38,,,25.9,,,318,2140,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0303B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,20,20x9,5x112,PFS,25,,,28.7,,,208,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0303GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,20,20x9,5x110,PFS,25,,,0,,,208,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0303P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,20,20x9,5x120,PFS,25,,,28.6,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0304B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,20,20x9,5x114.3,PFS,32,,,28.2,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0304GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9,20,20x9,5x112,PFS,38,,,28.1,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0304P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x112,PFS,20,,,29.5,,,273,2030,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0401B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x120,PFS,40,,,27.9,,,273,2030,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0401GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x114.3,PFS,35,,,28.3,,,273,2030,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0401P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x112,PFS,42,,,27.7,,,283,2180,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0402B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x110,PFS,42,,,27.7,,,208,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0402GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",9.5,20,20x9.5,5x112,PFS,48,,,28.3,,,208,1620,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0402P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10.5,20,20x10.5,5x112,PFS,34,,,28.9,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0403B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10.5,20,20x10.5,5x110,PFS,34,,,28.9,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0403GR,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10.5,20,20x10.5,5x120,PFS,35,,,28.4,,,218,1700,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0403P,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10.5,20,20x10.5,5x114.3,PFS,25,,,28.9,,,248,1870,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0404B,BBS,CC-R,"Black center, Polished stainless steel rim protector.",10.5,20,20x10.5,5x114.3,PF,45,,,27.7,,,248,1870,CC_R_CC0503_SatinBlack_001.png,,,,,,,,,,
CCR 0404GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,19,19x8,5x108,PFS,45,,,24.7,,,248,1870,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0404P,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,19,19x8,5x120,PFS,45,,,24.4,,,273,2030,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0404+B,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,19,19x8,5x112,PFS,44,,,24.6,,,273,2050,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0404+GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,19,19x8,5x114.3,PFS,38,,,24.9,,,273,2030,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0404+P,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,19,19x8,5x112,PFS,27,,,25.7,,,339,2180,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501B,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x112,PFS,30,,,26.2,,,283,2180,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x110,PFS,30,,,26.2,,,249,1550,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501P,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x114.3,PFS,30,,,26,,,273,2030,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501+B,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x120,PFS,35,,,25.7,,,210,1520,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501+GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x112,PFS,40,,,25.7,,,248,1780,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0501+P,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x114.3,PF,43,,,25.5,,,248,1850,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0502B,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8.5,19,19x8.5,5x112,PFS,44,,,25.5,,,283,1900,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0502GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",8,20,20x8,5x112,PFS,27,,,27.6,,,208,1620,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0502P,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",9,19,19x9,5x120,PFS,26,,,26.1,,,208,1620,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0503B,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",9,19,19x9,5x112,PFS,42,,,25.5,,,218,1700,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
CCR 0503GR,BBS,CC-R,"Graphite with diamond-cut face, satin clear coat",9,19,19x9,5x120,PFS,48,,,24.9,,,218,1700,CC_R_CC0503_DiamondCut_002.png,,,,,,,,,,
,,,,,,,,,,,,,,,248,1850,,,,,,,,,,,
,,,,,,,,,,,,,,,248,1870,,,,,,,,,,,
,,,,,,,,,,,,,,,248,1870,,,,,,,,,,,
,,,,,,,,,,,,,,,258,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,258,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,258,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,408,2660,,,,,,,,,,,
,,,,,,,,,,,,,,,230,1930,,,,,,,,,,,
,,,,,,,,,,,,,,,230,1930,,,,,,,,,,,
,,,,,,,,,,,,,,,408,2730,,,,,,,,,,,
,,,,,,,,,,,,,,,408,2660,,,,,,,,,,,
,,,,,,,,,,,,,,,408,2660,,,,,,,,,,,
,,,,,,,,,,,,,,,230,1930,,,,,,,,,,,
,,,,,,,,,,,,,,,408,2730,,,,,,,,,,,
,,,,,,,,,,,,,,,208,1620,,,,,,,,,,,
,,,,,,,,,,,,,,,218,1700,,,,,,,,,,,
,,,,,,,,,,,,,,,248,1850,,,,,,,,,,,
,,,,,,,,,,,,,,,248,1850,,,,,,,,,,,
,,,,,,,,,,,,,,,258,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,248,2010,,,,,,,,,,,
